,Area,Room,Parking,Warehouse,Elevator,Address,Price.USD.,New_address,unique.house.Address.,Dist
1,196,1,TRUE,TRUE,TRUE,Shahran,61666.67,dist5,Shahran,dist5
2,192,1,TRUE,TRUE,TRUE,Shahran,61666.67,dist5,Pardis,other
3,219,2,TRUE,TRUE,TRUE,Pardis,18333.33,other,Shahrake Qods,dist2
4,239,2,TRUE,TRUE,TRUE,Shahrake Qods,30083.33,dist2,Shahrake Gharb,dist2
5,25,2,TRUE,TRUE,TRUE,Shahrake Gharb,233333.33,dist2,North Program Organization,dist5
6,207,2,TRUE,TRUE,FALSE,North Program Organization,68333.33,dist5,Andisheh,other
7,229,2,TRUE,TRUE,TRUE,Pardis,20000,other,West Ferdows Boulevard,dist5
8,191,1,TRUE,TRUE,TRUE,Shahran,71666.67,dist5,Narmak,dist8
9,184,2,TRUE,TRUE,FALSE,Andisheh,16433.33,other,Saadat Abad,dist2
10,210,1,TRUE,TRUE,TRUE,West Ferdows Boulevard,79000,dist5,Zafar,dist3
11,204,2,TRUE,TRUE,TRUE,West Ferdows Boulevard,81666.67,dist5,Islamshahr,other
12,198,1,TRUE,TRUE,TRUE,Narmak,70000,dist8,Pirouzi,dist13
13,184,1,FALSE,TRUE,TRUE,Narmak,56333.33,dist8,Shahrake Shahid Bagheri,dist22
14,38,3,TRUE,TRUE,TRUE,Saadat Abad,366666.67,dist2,Moniriyeh,dist11
15,239,2,TRUE,TRUE,TRUE,Zafar,166666.67,dist3,Velenjak,dist1
16,196,1,FALSE,TRUE,FALSE,Islamshahr,19000,other,Amirieh,dist11
17,57,3,TRUE,TRUE,TRUE,Narmak,223333.33,dist8,Southern Janatabad,dist5
18,198,2,FALSE,TRUE,FALSE,Pirouzi,48333.33,dist13,Salsabil,dist10
19,42,3,TRUE,TRUE,TRUE,West Ferdows Boulevard,213333.33,dist5,Zargandeh,dist3
20,167,1,FALSE,TRUE,FALSE,Pirouzi,46333.33,dist13,Feiz Garden,dist5
21,237,2,TRUE,TRUE,TRUE,Shahrake Gharb,233333.33,dist2,Water Organization,dist5
